"Ma","T","U:0","U:1","U:2","alphat","k","nut","omega","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.493,300,519.2,0,0,0.54712,72.397,0.46604,155.35,1.0132e+05,1.174,1,0,0,0.087256,1
1.493,300,519.2,-4.654e-15,0,0.54712,72.391,0.46604,155.33,1.0132e+05,1.174,1,0.0025,0.0025,0.087256,1
1.493,300,519.2,-9.308e-15,0,0.54711,72.383,0.46603,155.32,1.0132e+05,1.174,1,0.005,0.005,0.087256,1
1.493,300,519.2,-1.3962e-14,0,0.54711,72.377,0.46603,155.3,1.0132e+05,1.174,1,0.0075,0.0075,0.087256,1
1.493,300,519.2,-1.8616e-14,0,0.5471,72.369,0.46603,155.29,1.0132e+05,1.174,1,0.01,0.01,0.087256,1
1.493,300,519.2,-2.327e-14,0,0.5471,72.363,0.46602,155.28,1.0132e+05,1.174,1,0.0125,0.0125,0.087256,1
1.493,300,519.2,-2.4572e-14,0,0.5471,72.358,0.46602,155.27,1.0132e+05,1.174,1,0.015,0.015,0.087256,1
1.493,300,519.2,-2.5873e-14,0,0.54709,72.353,0.46602,155.26,1.0132e+05,1.174,1,0.0175,0.0175,0.087256,1
1.493,300,519.2,-2.7175e-14,0,0.54709,72.348,0.46602,155.25,1.0132e+05,1.174,1,0.02,0.02,0.087256,1
1.493,300,519.2,-2.8476e-14,0,0.54709,72.343,0.46601,155.24,1.0132e+05,1.174,1,0.0225,0.0225,0.087256,1
1.493,300,519.2,-2.9778e-14,0,0.54708,72.338,0.46601,155.23,1.0132e+05,1.174,1,0.025,0.025,0.087256,1
1.493,300,519.2,-2.8525e-14,0,0.54708,72.333,0.46601,155.22,1.0132e+05,1.174,1,0.0275,0.0275,0.087256,1
1.493,300,519.2,-2.7272e-14,0,0.54708,72.328,0.466,155.21,1.0132e+05,1.174,1,0.03,0.03,0.087256,1
1.493,300,519.2,-2.6019e-14,0,0.54707,72.324,0.466,155.2,1.0132e+05,1.174,1,0.0325,0.0325,0.087256,1
1.493,300,519.2,-2.4767e-14,0,0.54707,72.319,0.466,155.19,1.0132e+05,1.174,1,0.035,0.035,0.087256,1
1.493,300,519.2,-2.3514e-14,0,0.54707,72.314,0.466,155.18,1.0132e+05,1.174,1,0.0375,0.0375,0.087256,1
1.493,300,519.2,-2.1911e-14,0,0.54707,72.309,0.46599,155.17,1.0132e+05,1.174,1,0.04,0.04,0.087256,1
1.493,300,519.2,-2.0307e-14,0,0.54706,72.304,0.46599,155.16,1.0132e+05,1.174,1,0.0425,0.0425,0.087256,1
1.493,300,519.2,-1.8704e-14,0,0.54706,72.299,0.46599,155.15,1.0132e+05,1.174,1,0.045,0.045,0.087256,1
1.493,300,519.2,-1.7101e-14,0,0.54706,72.294,0.46599,155.14,1.0132e+05,1.174,1,0.0475,0.0475,0.087256,1
1.493,300,519.2,-1.5498e-14,0,0.54705,72.29,0.46598,155.13,1.0132e+05,1.174,1,0.05,0.05,0.087256,1
1.493,300,519.2,-1.3011e-14,0,0.54705,72.285,0.46598,155.12,1.0132e+05,1.174,1,0.0525,0.0525,0.087256,1
1.493,300,519.2,-1.0524e-14,0,0.54705,72.28,0.46598,155.11,1.0132e+05,1.174,1,0.055,0.055,0.087256,1
1.493,300,519.2,-8.0368e-15,0,0.54704,72.275,0.46598,155.1,1.0132e+05,1.174,1,0.0575,0.0575,0.087256,1
1.493,300,519.2,-5.5497e-15,0,0.54704,72.27,0.46597,155.09,1.0132e+05,1.174,1,0.06,0.06,0.087256,1
