"Ma","T","U:0","U:1","U:2","alphat","k","nut","omega","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.9978,300,694.73,0,0,0.54712,72.397,0.46604,155.35,1.0132e+05,1.174,1,0,0,0.087256,1
1.9978,300,694.73,2.997e-12,0,0.54712,72.392,0.46604,155.34,1.0132e+05,1.174,1,0.0025,0.0025,0.087256,1
1.9978,300,694.73,5.9941e-12,0,0.54711,72.387,0.46603,155.32,1.0132e+05,1.174,1,0.005,0.005,0.087256,1
1.9978,300,694.73,8.9911e-12,0,0.54711,72.381,0.46603,155.31,1.0132e+05,1.174,1,0.0075,0.0075,0.087256,1
1.9978,300,694.73,1.1988e-11,0,0.54711,72.376,0.46603,155.3,1.0132e+05,1.174,1,0.01,0.01,0.087256,1
1.9978,300,694.73,1.4985e-11,0,0.5471,72.371,0.46603,155.29,1.0132e+05,1.174,1,0.0125,0.0125,0.087256,1
1.9978,300,694.73,1.7982e-11,0,0.5471,72.365,0.46602,155.28,1.0132e+05,1.174,1,0.015,0.015,0.087256,1
1.9978,300,694.73,2.0979e-11,0,0.5471,72.36,0.46602,155.27,1.0132e+05,1.174,1,0.0175,0.0175,0.087256,1
1.9978,300,694.73,2.3976e-11,0,0.54709,72.354,0.46602,155.26,1.0132e+05,1.174,1,0.02,0.02,0.087256,1
1.9978,300,694.73,2.6973e-11,0,0.54709,72.349,0.46601,155.25,1.0132e+05,1.174,1,0.0225,0.0225,0.087256,1
1.9978,300,694.73,2.997e-11,0,0.54709,72.344,0.46601,155.24,1.0132e+05,1.174,1,0.025,0.025,0.087256,1
1.9978,300,694.73,3.2967e-11,0,0.54708,72.338,0.46601,155.23,1.0132e+05,1.174,1,0.0275,0.0275,0.087256,1
1.9978,300,694.73,3.5964e-11,0,0.54708,72.333,0.46601,155.22,1.0132e+05,1.174,1,0.03,0.03,0.087256,1
1.9978,300,694.73,3.9564e-11,0,0.54708,72.328,0.466,155.21,1.0132e+05,1.174,1,0.0325,0.0325,0.087256,1
1.9978,300,694.73,4.3766e-11,0,0.54708,72.325,0.466,155.2,1.0132e+05,1.174,1,0.035,0.035,0.087256,1
1.9978,300,694.73,4.7968e-11,0,0.54707,72.321,0.466,155.2,1.0132e+05,1.174,1,0.0375,0.0375,0.087256,1
1.9978,300,694.73,5.217e-11,0,0.54707,72.318,0.466,155.19,1.0132e+05,1.174,1,0.04,0.04,0.087256,1
1.9978,300,694.73,5.6372e-11,0,0.54707,72.314,0.466,155.18,1.0132e+05,1.174,1,0.0425,0.0425,0.087256,1
1.9978,300,694.73,6.0574e-11,0,0.54707,72.31,0.46599,155.17,1.0132e+05,1.174,1,0.045,0.045,0.087256,1
1.9978,300,694.73,6.4776e-11,0,0.54706,72.307,0.46599,155.17,1.0132e+05,1.174,1,0.0475,0.0475,0.087256,1
1.9978,300,694.73,6.8978e-11,0,0.54706,72.303,0.46599,155.16,1.0132e+05,1.174,1,0.05,0.05,0.087256,1
1.9978,300,694.73,7.318e-11,0,0.54706,72.299,0.46599,155.15,1.0132e+05,1.174,1,0.0525,0.0525,0.087256,1
1.9978,300,694.73,7.7382e-11,0,0.54706,72.296,0.46599,155.15,1.0132e+05,1.174,1,0.055,0.055,0.087256,1
1.9978,300,694.73,8.1584e-11,0,0.54705,72.292,0.46598,155.14,1.0132e+05,1.174,1,0.0575,0.0575,0.087256,1
1.9978,300,694.73,8.5786e-11,0,0.54705,72.288,0.46598,155.13,1.0132e+05,1.174,1,0.06,0.06,0.087256,1
1.9978,300,694.73,8.9988e-11,0,0.54705,72.285,0.46598,155.12,1.0132e+05,1.174,1,0.0625,0.0625,0.087256,1
1.9978,300,694.73,9.7231e-11,0,0.54705,72.281,0.46598,155.12,1.0132e+05,1.174,1,0.065,0.065,0.087256,1
1.9978,300,694.73,1.0447e-10,0,0.54705,72.278,0.46598,155.11,1.0132e+05,1.174,1,0.0675,0.0675,0.087256,1
1.9978,300,694.73,1.1172e-10,0,0.54704,72.274,0.46598,155.1,1.0132e+05,1.174,1,0.07,0.07,0.087256,1
1.9978,300,694.73,1.1896e-10,0,0.54704,72.27,0.46597,155.1,1.0132e+05,1.174,1,0.0725,0.0725,0.087256,1
1.9978,300,694.73,1.262e-10,0,0.54704,72.267,0.46597,155.09,1.0132e+05,1.174,1,0.075,0.075,0.087256,1
1.9978,300,694.73,1.3345e-10,0,0.54704,72.263,0.46597,155.08,1.0132e+05,1.174,1,0.0775,0.0775,0.087256,1
